SKU,Item Name,SCM Unit,Transit Unit,Legacy Conversion,Derived Conversion,Pattern,Conversion Source,Evidence,Status
100101,Black Coockie Crumb @5 Kg,KG,KG,5.0,5.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,"NAME_DERIVED_CANDIDATE,LEGACY_CONVERSION_CANDIDATE",PENDING
100102,Bubuk Oreo (bureo) @10x1kg,KG,KG,10.0,10.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,"NAME_DERIVED_CANDIDATE,PACKAGE_STRUCTURE_UNCLEAR,LEGACY_CONVERSION_CANDIDATE",PENDING
100202,Chefmate Coklat Dark @4X5 Kg,KG,KG,20.0,20.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,"NAME_DERIVED_CANDIDATE,PACKAGE_STRUCTURE_UNCLEAR,LEGACY_CONVERSION_CANDIDATE",PENDING
100203,Chefmate Glaze Coklat 2X5Kg,KG,KG,10.0,10.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,LEGACY_CONVERSION_CANDIDATE,PENDING
100204,Chefmate Glaze Greentea 2X5Kg,KG,KG,10.0,10.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,LEGACY_CONVERSION_CANDIDATE,PENDING
100205,Chefmate Greentea @ 12X1 Kg,KG,KG,12.0,12.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,"NAME_DERIVED_CANDIDATE,PACKAGE_STRUCTURE_UNCLEAR,LEGACY_CONVERSION_CANDIDATE",PENDING
100206,Chefmate Signature  @ 12X1 Kg,KG,KG,12.0,12.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,"NAME_DERIVED_CANDIDATE,PACKAGE_STRUCTURE_UNCLEAR,LEGACY_CONVERSION_CANDIDATE",PENDING
100207,Chefmate White @ 12X1 Kg,KG,KG,12.0,12.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,"NAME_DERIVED_CANDIDATE,PACKAGE_STRUCTURE_UNCLEAR,LEGACY_CONVERSION_CANDIDATE",PENDING
100208,Chefmate Stick Dark @8X1Kg,KG,KG,8.0,8.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,"NAME_DERIVED_CANDIDATE,PACKAGE_STRUCTURE_UNCLEAR,LEGACY_CONVERSION_CANDIDATE",PENDING
100214,Chefmate White Compound 1Kg Pattisier,KG,KG,12.0,12.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,LEGACY_CONVERSION_CANDIDATE,PENDING
100216,Chefmate Block 500 Gr X 24 Yuzu Lemon,KG,KG,12.0,12.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,LEGACY_CONVERSION_CANDIDATE,PENDING
100217,BLOCK CHEFMATE PATISSIER 1000GR@12,KG,KG,12.0,12.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,LEGACY_CONVERSION_CANDIDATE,PENDING
100218,BLOCK CHEFMATE DECOR 1000GR@12,KG,KG,12.0,12.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,LEGACY_CONVERSION_CANDIDATE,PENDING
100302,Collata Choco Chips,KG,KG,5.0,5.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,LEGACY_CONVERSION_CANDIDATE,PENDING
100303,COLLATA CHOCO STICK 8X1.2KG,KG,KG,9.6,9.6,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,LEGACY_CONVERSION_CANDIDATE,PENDING
100304,Meises Hagel @1X12.5 Kg,KG,KG,12.5,12.5,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,"NAME_DERIVED_CANDIDATE,PACKAGE_STRUCTURE_UNCLEAR,LEGACY_CONVERSION_CANDIDATE,MOVEMENT_RECONCILIATION_REVIEW",PENDING
100306,Meises Holland Merah 12.5 Kg,KG,KG,12.5,12.5,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,LEGACY_CONVERSION_CANDIDATE,PENDING
100307,Chefamate Cocoa Powder Zak 10Kg,KG,KG,10.0,10.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,LEGACY_CONVERSION_CANDIDATE,PENDING
100308,TULIP BORDEUX 2x2.5Kg,KG,KG,5.0,5.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,LEGACY_CONVERSION_CANDIDATE,PENDING
100309,MEISES PLAZA BIRU @12.5kg,KG,KG,12500.0,12500.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,"NAME_DERIVED_CANDIDATE,LEGACY_CONVERSION_CANDIDATE,CONVERSION_CONFLICT",PENDING
100310,Coklat bubuk bensdrop 8kg@3pcs,KG,KG,24.0,24.0,SCM_LARGE_UNIT_TO_TRANSIT_BASE_UNIT_CANDIDATE,DETECTOR,"NAME_DERIVED_CANDIDATE,LEGACY_CONVERSION_CANDIDATE,CONVERSION_CONFLICT",PENDING
